Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
302	135	VOLKSWAGEN	EUROVAN PASAJEROS	MULTIUSOS	AUTOMOVILES
303	479	VOLKSWAGEN	POINTER STATION WAGON	MULTIUSOS	AUTOMOVILES
304	173	VOLKSWAGEN	SHARAN	MULTIUSOS	AUTOMOVILES
305	7114	VOLKSWAGEN	DERBY VAN	1	COMERCIAL
306	183	VOLKSWAGEN	POLO	SUBCOMPACTO	AUTOMOVILES
307	222	VOLKSWAGEN	LUPO	SUBCOMPACTO	AUTOMOVILES
308	257	VOLKSWAGEN	BORA	COMPACTO	AUTOMOVILES
309	217	VOLKSWAGEN	TOUAREG	MULTIUSOS	AUTOMOVILES
311	280	VOLKSWAGEN	CROSSFOX	COMPACTO	AUTOMOVILES
312	292	VOLKSWAGEN	SPORTVAN	COMPACTO	AUTOMOVILES
313	318	VOLKSWAGEN	GTI	DEPORTIVO	AUTOMOVILES
317	7569	DINA	D-3000,3200,3130 ESTACAS	3	COMERCIAL
320	7156	DINA	4 X 2 CAJA REDILAS	4	CAMION
321	7155	DINA	4 X 2 PLATAFORMA	4	CAMION
323	7162	DINA	4 X 2 CAJA REDILAS	7	CAMION
325	7167	DINA	6 X 2 VOLTEO	7	CAMION
326	7168	DINA	6 X 2 TANQUE	7	CAMION
328	7318
MERCEDES BENZ Y FREIGHLINER
4 X 2 CAJA REDILAS	6	CAMION
329	7327
MERCEDES BENZ Y FREIGHLINER
4 X 2 CAJA REDILAS	7	CAMION
330	7317
MERCEDES BENZ Y FREIGHLINER
4 X 2 PLATAFORMA	6	CAMION
331	7326
MERCEDES BENZ Y FREIGHLINER
4 X 2 PLATAFORMA	7	CAMION
332	7333
MERCEDES BENZ Y FREIGHLINER
4 X 2 VOLTEO	7	CAMION
333	7348
MERCEDES BENZ Y FREIGHLINER
4 X 2 VOLTEO	8	CAMION
334	7320
